playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
aguilri01,2000,1,CHN,NL,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andresh01,2000,1,CHN,NL,66,192,25,44,5,0,14,39,1,1,27,59,1,2,0,1,9
arnolja01,2000,2,CHN,NL,12,9,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0
brockta01,2000,1,CHN,NL,13,12,1,2,0,0,0,0,1,1,4,4,0,0,0,0,0
brownbr01,2000,2,CHN,NL,54,89,7,14,1,0,3,10,2,1,10,29,0,1,1,1,2
brownro01,2000,1,CHN,NL,45,91,11,32,8,0,3,14,0,1,4,22,0,1,0,2,0
buforda01,2000,1,CHN,NL,150,495,64,124,18,3,15,48,4,6,47,118,3,8,4,2,9
downssc01,2000,1,CHN,NL,18,26,2,2,0,0,0,1,0,0,2,10,0,0,4,0,0
farnsky01,2000,1,CHN,NL,46,14,0,1,1,0,0,0,0,0,0,6,0,0,2,0,0
garibda01,2000,1,CHN,NL,30,15,1,2,0,0,0,1,0,0,0,6,0,0,4,0,0
girarjo01,2000,1,CHN,NL,106,363,47,101,15,1,6,40,1,0,32,61,3,3,6,3,12
gloadro01,2000,1,CHN,NL,18,31,4,6,0,1,1,3,0,0,3,10,0,0,0,1,1
gonzara01,2000,1,CHN,NL,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
gracema01,2000,1,CHN,NL,143,510,75,143,41,1,11,82,1,2,95,28,11,6,2,8,7
greenwi01,2000,1,CHN,NL,105,299,34,60,15,2,10,37,4,0,36,69,2,2,0,2,5
guthrma01,2000,1,CHN,NL,19,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gutieri01,2000,1,CHN,NL,125,449,73,124,19,2,11,56,8,2,66,58,0,7,16,4,10
heredfe01,2000,1,CHN,NL,74,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hillgl01,2000,1,CHN,NL,64,168,23,44,4,1,11,29,0,1,10,43,2,0,0,0,5
husonje01,2000,1,CHN,NL,70,130,19,28,7,1,0,11,2,1,13,9,1,0,1,0,6
karchma01,2000,1,CHN,NL,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
liebejo01,2000,1,CHN,NL,36,82,3,18,4,0,0,4,0,0,2,28,0,0,10,0,0
liniaco01,2000,1,CHN,NL,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
lorraan01,2000,1,CHN,NL,8,8,2,1,0,0,0,0,0,0,1,4,0,0,2,0,0
mahonmi02,2000,1,CHN,NL,4,7,1,2,1,0,0,1,0,0,1,0,0,1,0,0,0
maireos01,2000,1,CHN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martida01,2000,2,CHN,NL,18,54,5,10,1,1,0,1,1,0,2,8,0,0,0,0,0
matthga02,2000,1,CHN,NL,80,158,24,30,1,2,4,14,3,0,15,28,1,1,1,0,2
meyerch02,2000,1,CHN,NL,36,52,8,9,2,0,0,5,1,0,3,11,0,1,0,1,0
natiojo01,2000,1,CHN,NL,2,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
